Time,Iso_tot,Iso_ice,Iso_do,Tsurf,Tdo,Ice_eas,Ice_nam,Ice_tot,Sealevel_Uncorrected,Sealevel_Corrected
0,-0.0029,0.0102,-0.0131,-0.0479,0.057,1.1638,0.1107,1.4588,-1.4588,0
0.1001,-0.0035001,0.0104,-0.0139,-0.0614,0.0604,1.2071,0.1091,1.5067,-1.5067,-0.0479
0.2,-0.0038999,0.0108,-0.0147,-0.0665,0.0638,1.2378,0.1078,1.5405,-1.5405,-0.0817
0.3,-0.0043,0.0111,-0.0154,-0.0707,0.067,1.2812,0.1101,1.593,-1.593,-0.1342
0.3999,-0.0047,0.0114,-0.0161,-0.0694,0.0699,1.3229,0.1104,1.6414,-1.6414,-0.1826
0.5,-0.0049001,0.0118,-0.0167,-0.0584,0.0724,1.3693,0.1117,1.6962,-1.6962,-0.2374
0.6001,-0.0051001,0.012,-0.0171,-0.0459,0.0744,1.4214,0.1115,1.756,-1.756,-0.2972
0.7,-0.005,0.0124,-0.0174,-0.0174,0.0756,1.4611,0.1128,1.803,-1.803,-0.3442
0.8,-0.0045999,0.0128,-0.0174,0.0347,0.0758,1.5056,0.1149,1.843,-1.843,-0.3842
0.8999,-0.0038999,0.0133,-0.0172,0.1027,0.0747,1.5702,0.1147,1.9061,-1.9061,-0.4473
1,-0.0029,0.0138,-0.0167,0.158,0.0724,1.6286,0.1147,1.9625,-1.9625,-0.5037
1.1001,-0.0016001,0.0143,-0.0159,0.2112,0.0691,1.6936,0.1173,2.0348,-2.0348,-0.576
1.2,-0.00020011,0.0147,-0.0149,0.2384,0.065,1.7733,0.1168,2.1172,-2.1172,-0.6584
1.3,0.0015001,0.0153,-0.0138,0.2824,0.06,1.8375,0.1174,2.1852,-2.1852,-0.7264
1.3999,0.0032,0.0157,-0.0125,0.315,0.0543,1.9089,0.1173,2.2578,-2.2578,-0.799
1.5,0.0053,0.0164,-0.0111,0.3617,0.0481,1.9704,0.1204,2.3268,-2.3268,-0.868
1.6001,0.0074,0.0169,-0.0095,0.3881,0.0414,2.046,0.1231,2.4132,-2.4132,-0.9544
1.7,0.0096001,0.0176,-0.008,0.4061,0.0347,2.1233,0.1279,2.4921,-2.4921,-1.0333
1.8,0.0118,0.0181,-0.0063,0.4843,0.0276,2.2119,0.1274,2.5814,-2.5814,-1.1226
1.8999,0.014,0.0187,-0.0047,0.544,0.0203,2.2905,0.131,2.6735,-2.6735,-1.2147
2,0.0162,0.0193,-0.0031,0.5563,0.0137,2.3621,0.1332,2.7572,-2.7572,-1.2984
2.1001,0.0183,0.02,-0.0017,0.5625,0.0074,2.4535,0.1329,2.866,-2.866,-1.4072
2.2,0.0202,0.0206,-0.0004,0.542,0.0018,2.5357,0.138,2.9693,-2.9693,-1.5105
2.3,0.0219,0.0212,0.0007,0.5275,-0.0031,2.6018,0.1392,3.0499,-3.0499,-1.5911
2.3999,0.0237,0.022,0.0017,0.5112,-0.0075,2.6738,0.1438,3.1421,-3.1421,-1.6833
2.5,0.0252,0.0226,0.0026,0.4906,-0.0112,2.7653,0.148,3.2577,-3.2577,-1.7989
2.6001,0.0266,0.0233,0.0033,0.4631,-0.0143,2.8417,0.1549,3.3566,-3.3566,-1.8978
2.7,0.0279,0.0239,0.004,0.4476,-0.0172,2.9319,0.1549,3.4618,-3.4618,-2.003
2.8,0.0294,0.0248,0.0046,0.4401,-0.0199,3.0148,0.1606,3.5653,-3.5653,-2.1065
2.8999,0.0308,0.0255,0.0053,0.4319,-0.0229,3.1125,0.1666,3.6818,-3.6818,-2.223
3,0.0324,0.0264,0.006,0.4456,-0.0261,3.2006,0.1709,3.7872,-3.7872,-2.3284
3.1001,0.0342,0.0273,0.0069,0.4504,-0.0298,3.2973,0.1858,3.919,-3.919,-2.4602
3.2,0.0359,0.0281,0.0078,0.4327,-0.0339,3.4006,0.2002,4.0591,-4.0591,-2.6003
3.3,0.0378,0.0289,0.0089,0.409,-0.0386,3.4868,0.212,4.179,-4.179,-2.7202
3.3999,0.0399,0.0298,0.0101,0.3729,-0.0438,3.5714,0.2245,4.3012,-4.3012,-2.8424
3.5,0.042,0.0307,0.0113,0.3197,-0.0493,3.6499,0.2518,4.4376,-4.4376,-2.9788
3.6001,0.0441,0.0314,0.0127,0.2466,-0.0552,3.7274,0.2687,4.5632,-4.5632,-3.1044
3.7,0.0463,0.0322,0.0141,0.1612,-0.0614,3.8042,0.2853,4.6909,-4.6909,-3.2321
3.8,0.0486,0.033,0.0156,0.0607,-0.0677,3.8848,0.2992,4.8083,-4.8083,-3.3495
3.8999,0.0508,0.0338,0.017,-0.057,-0.0739,3.9629,0.3198,4.9218,-4.9218,-3.463
4,0.0531,0.0347,0.0184,-0.1823,-0.0801,4.0299,0.3388,5.0208,-5.0208,-3.562
4.1001,0.0555,0.0357,0.0198,-0.2812,-0.0862,4.1021,0.3618,5.1303,-5.1303,-3.6715
4.2,0.0578,0.0366,0.0212,-0.3859,-0.0923,4.2032,0.3873,5.2758,-5.2758,-3.817
4.3,0.0601,0.0375,0.0226,-0.4709,-0.0985,4.2789,0.4103,5.3892,-5.3892,-3.9304
4.3999,0.0624,0.0383,0.0241,-0.535,-0.1046,4.3594,0.4363,5.5118,-5.5118,-4.053
4.5,0.0648,0.0393,0.0255,-0.5739,-0.1109,4.4305,0.4723,5.6349,-5.6349,-4.1761
4.6001,0.0671,0.0401,0.027,-0.6051,-0.1174,4.5126,0.496,5.7566,-5.7566,-4.2978
4.7,0.0696,0.0411,0.0285,-0.6069,-0.1241,4.5909,0.5159,5.8695,-5.8695,-4.4107
4.8,0.0724,0.0422,0.0302,-0.5796,-0.1313,4.6662,0.5531,5.9988,-5.9988,-4.54
4.8999,0.0753,0.0433,0.032,-0.5455,-0.1391,4.7476,0.6142,6.1627,-6.1627,-4.7039
5,0.079,0.045,0.034,-0.4432,-0.1477,4.8316,0.6657,6.3186,-6.3186,-4.8598
5.1001,0.0825,0.0465,0.036,-0.3732,-0.1566,4.9677,0.7492,6.5711,-6.5711,-5.1123
5.2,0.0863,0.0481,0.0382,-0.2953,-0.1659,5.0784,0.8127,6.7715,-6.7715,-5.3127
5.3,0.0903,0.0499,0.0404,-0.2117,-0.1756,5.1908,0.9047,7.0065,-7.0065,-5.5477
5.3999,0.0944,0.0518,0.0426,-0.1446,-0.1852,5.3228,0.9887,7.2549,-7.2549,-5.7961
5.5,0.0987,0.0539,0.0448,-0.0702,-0.195,5.4508,1.0828,7.5103,-7.5103,-6.0515
5.6001,0.1031,0.056,0.0471,-0.0034,-0.2047,5.5848,1.2033,7.803,-7.803,-6.3442
5.7,0.1072,0.058,0.0492,0.0166,-0.2138,5.7183,1.3284,8.0984,-8.0984,-6.6396
5.8,0.1113,0.0602,0.0511,0.0265,-0.2221,5.8358,1.4431,8.3422,-8.3422,-6.8834
5.8999,0.115,0.0623,0.0527,-0.0083,-0.2292,5.9522,1.5727,8.6251,-8.6251,-7.1663
6,0.1186,0.0645,0.0541,-0.0429,-0.2351,6.0717,1.6915,8.8992,-8.8992,-7.4404
6.1001,0.1219,0.0668,0.0551,-0.1024,-0.2397,6.2005,1.8224,9.1979,-9.1979,-7.7391
6.2,0.1249,0.069,0.0559,-0.1798,-0.2431,6.3282,1.9428,9.4831,-9.4831,-8.0243
6.3,0.1273,0.0709,0.0564,-0.2891,-0.2452,6.454,2.0644,9.7677,-9.7677,-8.3089
6.3999,0.1294,0.0728,0.0566,-0.4124,-0.246,6.5706,2.1647,10.017,-10.017,-8.5582
6.5,0.1316,0.075,0.0566,-0.5126,-0.2459,6.6735,2.2652,10.251,-10.251,-8.7922
6.6001,0.1334,0.0771,0.0563,-0.6375,-0.245,6.8015,2.3846,10.536,-10.536,-9.0772
6.7,0.1349,0.0789,0.056,-0.769,-0.2435,6.8987,2.4945,10.774,-10.774,-9.3152
6.8,0.1366,0.081,0.0556,-0.8734,-0.2418,7.0013,2.5857,10.997,-10.997,-9.5382
6.8999,0.1382,0.083,0.0552,-0.9937,-0.2401,7.1106,2.702,11.256,-11.256,-9.7972
7,0.1398,0.0849,0.0549,-1.106,-0.2386,7.1957,2.8185,11.488,-11.488,-10.0292
7.1001,0.1417,0.0871,0.0546,-1.2012,-0.2376,7.2869,2.9401,11.733,-11.733,-10.2742
7.2,0.1436,0.089,0.0546,-1.3051,-0.2372,7.3851,3.0676,11.992,-11.992,-10.5332
7.3,0.1458,0.0911,0.0547,-1.3929,-0.2377,7.4819,3.178,12.231,-12.231,-10.7722
7.3999,0.1485,0.0935,0.055,-1.4504,-0.2391,7.5767,3.3049,12.485,-12.485,-11.0262
7.5,0.1511,0.0956,0.0555,-1.53,-0.2412,7.6997,3.4413,12.784,-12.784,-11.3252
7.6001,0.1542,0.0981,0.0561,-1.5768,-0.2441,7.795,3.5654,13.036,-13.036,-11.5772
7.7,0.1577,0.1007,0.057,-1.6067,-0.2477,7.9105,3.7175,13.344,-13.344,-11.8852
7.8,0.1609,0.103,0.0579,-1.6666,-0.2517,8.0379,3.8742,13.67,-13.67,-12.2112
7.8999,0.1646,0.1056,0.059,-1.7091,-0.2563,8.1428,4.005,13.941,-13.941,-12.4822
8,0.1687,0.1085,0.0602,-1.7298,-0.2618,8.2777,4.1479,14.261,-14.261,-12.8022
8.1001,0.1733,0.1115,0.0618,-1.7157,-0.2687,8.4185,4.3174,14.618,-14.618,-13.1592
8.2,0.1785,0.1148,0.0637,-1.6877,-0.2769,8.5764,4.4993,15.009,-15.009,-13.5502
8.3,0.1839,0.118,0.0659,-1.66,-0.2864,8.7291,4.7074,15.423,-15.423,-13.9642
8.3999,0.1901,0.1218,0.0683,-1.5928,-0.2971,8.9001,4.8926,15.833,-15.833,-14.3742
8.5,0.1963,0.1253,0.071,-1.5379,-0.3088,9.063,5.1392,16.304,-16.304,-14.8452
8.6001,0.203,0.1291,0.0739,-1.4636,-0.3215,9.2293,5.3479,16.735,-16.735,-15.2762
8.7,0.2105,0.1333,0.0772,-1.3421,-0.3354,9.4122,5.5825,17.215,-17.215,-15.7562
8.8,0.2182,0.1376,0.0806,-1.2228,-0.3504,9.6279,5.8532,17.775,-17.775,-16.3162
8.8999,0.2267,0.1423,0.0844,-1.0725,-0.3669,9.8624,6.0963,18.324,-18.324,-16.8652
9,0.236,0.1475,0.0885,-0.9231,-0.3848,10.109,6.3785,18.932,-18.932,-17.4732
9.1001,0.2457,0.1527,0.093,-0.8015,-0.4043,10.359,6.705,19.595,-19.595,-18.1362
9.2,0.2561,0.1583,0.0978,-0.6872,-0.4252,10.647,6.9999,20.265,-20.265,-18.8062
9.3,0.2671,0.1642,0.1029,-0.5995,-0.4475,10.942,7.3284,20.982,-20.982,-19.5232
9.3999,0.2788,0.1704,0.1084,-0.532,-0.4712,11.233,7.7005,21.745,-21.745,-20.2862
9.5,0.2909,0.1768,0.1141,-0.4985,-0.4961,11.581,8.0574,22.556,-22.556,-21.0972
9.6001,0.3034,0.1834,0.12,-0.4998,-0.5217,11.903,8.4475,23.374,-23.374,-21.9152
9.7,0.316,0.19,0.126,-0.5412,-0.5478,12.239,8.8454,24.218,-24.218,-22.7592
9.8,0.3286,0.1967,0.1319,-0.623,-0.5736,12.598,9.2208,25.063,-25.063,-23.6042
9.8999,0.3413,0.2034,0.1379,-0.736,-0.5996,12.937,9.6248,25.918,-25.918,-24.4592
10,0.3539,0.21,0.1439,-0.8871,-0.6255,13.257,10.041,26.764,-26.764,-25.3052
10.1,0.3666,0.2167,0.1499,-1.0481,-0.6518,13.576,10.451,27.603,-27.603,-26.1442
10.2,0.3793,0.2233,0.156,-1.2483,-0.6782,13.873,10.891,28.45,-28.45,-26.9912
10.3,0.3918,0.2298,0.162,-1.4705,-0.7045,14.172,11.302,29.267,-29.267,-27.8082
10.4,0.4051,0.237,0.1681,-1.6603,-0.7307,14.444,11.742,30.086,-30.086,-28.6272
10.5,0.419,0.2449,0.1741,-1.8337,-0.757,14.733,12.262,31.017,-31.017,-29.5582
10.6,0.4332,0.2531,0.1801,-2.0112,-0.783,14.983,12.912,32.051,-32.051,-30.5922
10.7,0.4485,0.2624,0.1861,-2.1483,-0.8092,15.21,13.613,33.119,-33.119,-31.6602
10.8,0.4642,0.2721,0.1921,-2.2688,-0.8351,15.441,14.393,34.28,-34.28,-32.8212
10.9,0.4803,0.2823,0.198,-2.4094,-0.8607,15.705,15.185,35.495,-35.495,-34.0362
11,0.4967,0.2929,0.2038,-2.5488,-0.8861,15.95,16.02,36.736,-36.736,-35.2772
11.1,0.5129,0.3033,0.2096,-2.7464,-0.9112,16.203,16.888,38.026,-38.026,-36.5672
11.2,0.5297,0.3144,0.2153,-2.9158,-0.936,16.441,17.753,39.294,-39.294,-37.8352
11.3,0.5466,0.3257,0.2209,-3.0859,-0.9606,16.699,18.672,40.648,-40.648,-39.1892
11.4,0.5644,0.3378,0.2266,-3.2034,-0.9854,16.918,19.644,42.018,-42.018,-40.5592
11.5,0.5828,0.3503,0.2325,-3.2957,-1.0107,17.16,20.689,43.497,-43.497,-42.0382
11.6,0.6018,0.3634,0.2384,-3.357,-1.0367,17.405,21.776,45.03,-45.03,-43.5712
11.7,0.6208,0.3763,0.2445,-3.4404,-1.0632,17.65,22.905,46.61,-46.61,-45.1512
11.8,0.6406,0.3898,0.2508,-3.4671,-1.0905,17.906,24.01,48.174,-48.174,-46.7152
11.9,0.6602,0.403,0.2572,-3.5419,-1.1184,18.191,25.141,49.803,-49.803,-48.3442
12,0.6799,0.4161,0.2638,-3.6186,-1.1471,18.456,26.241,51.372,-51.372,-49.9132
12.1,0.6998,0.4292,0.2706,-3.7139,-1.1766,18.74,27.304,52.922,-52.922,-51.4632
12.2,0.7197,0.4422,0.2775,-3.8322,-1.2067,19.063,28.327,54.47,-54.47,-53.0112
12.3,0.7399,0.4553,0.2846,-3.9455,-1.2373,19.378,29.344,56.001,-56.001,-54.5422
12.4,0.7602,0.4684,0.2918,-4.0865,-1.2685,19.735,30.355,57.575,-57.575,-56.1162
12.5,0.7808,0.4818,0.299,-4.2274,-1.3,20.111,31.333,59.133,-59.133,-57.6742
